Date,Close,Date
2022-10-18 00:00:00-03:00,53.05039452302077,2022-10-18 00:00:00-03:00
2022-10-19 00:00:00-03:00,47.46191713870353,2022-10-19 00:00:00-03:00
2022-10-20 00:00:00-03:00,52.971572597835475,2022-10-20 00:00:00-03:00
2022-10-21 00:00:00-03:00,58.447500316258534,2022-10-21 00:00:00-03:00
2022-10-24 00:00:00-03:00,43.05176453223681,2022-10-24 00:00:00-03:00
2022-10-25 00:00:00-03:00,39.79847916509025,2022-10-25 00:00:00-03:00
2022-10-26 00:00:00-03:00,35.74659784098403,2022-10-26 00:00:00-03:00
2022-10-27 00:00:00-03:00,39.31623565871002,2022-10-27 00:00:00-03:00
2022-10-28 00:00:00-03:00,45.0672575742284,2022-10-28 00:00:00-03:00
2022-10-31 00:00:00-03:00,52.70270917132702,2022-10-31 00:00:00-03:00
2022-11-01 00:00:00-03:00,58.35050930137165,2022-11-01 00:00:00-03:00
2022-11-03 00:00:00-03:00,63.74502241799779,2022-11-03 00:00:00-03:00
2022-11-04 00:00:00-03:00,61.302675202477644,2022-11-04 00:00:00-03:00
2022-11-07 00:00:00-03:00,56.53710062780752,2022-11-07 00:00:00-03:00
2022-11-08 00:00:00-03:00,55.97147953119347,2022-11-08 00:00:00-03:00
2022-11-09 00:00:00-03:00,54.137935173497205,2022-11-09 00:00:00-03:00
2022-11-10 00:00:00-03:00,43.40176203223808,2022-11-10 00:00:00-03:00
2022-11-11 00:00:00-03:00,33.8905709436593,2022-11-11 00:00:00-03:00
2022-11-14 00:00:00-03:00,37.8995416556832,2022-11-14 00:00:00-03:00
2022-11-16 00:00:00-03:00,37.44360772863446,2022-11-16 00:00:00-03:00
2022-11-17 00:00:00-03:00,39.52380469416649,2022-11-17 00:00:00-03:00
2022-11-18 00:00:00-03:00,30.0917452062561,2022-11-18 00:00:00-03:00
2022-11-21 00:00:00-03:00,32.44681660542749,2022-11-21 00:00:00-03:00
2022-11-22 00:00:00-03:00,20.332721230814386,2022-11-22 00:00:00-03:00
2022-11-23 00:00:00-03:00,17.24138951613051,2022-11-23 00:00:00-03:00
2022-11-24 00:00:00-03:00,24.528313769522217,2022-11-24 00:00:00-03:00
2022-11-25 00:00:00-03:00,23.708217524033543,2022-11-25 00:00:00-03:00
2022-11-28 00:00:00-03:00,24.96001054687019,2022-11-28 00:00:00-03:00
2022-11-29 00:00:00-03:00,30.04484976142471,2022-11-29 00:00:00-03:00
2022-11-30 00:00:00-03:00,33.28025864608676,2022-11-30 00:00:00-03:00
2022-12-01 00:00:00-03:00,35.910656158775254,2022-12-01 00:00:00-03:00
2022-12-02 00:00:00-03:00,41.41049251831512,2022-12-02 00:00:00-03:00
2022-12-05 00:00:00-03:00,34.29054617337442,2022-12-05 00:00:00-03:00
2022-12-06 00:00:00-03:00,39.64285921077325,2022-12-06 00:00:00-03:00
2022-12-07 00:00:00-03:00,41.18738637519739,2022-12-07 00:00:00-03:00
2022-12-08 00:00:00-03:00,38.23529654405242,2022-12-08 00:00:00-03:00
2022-12-09 00:00:00-03:00,31.841645401861314,2022-12-09 00:00:00-03:00
2022-12-12 00:00:00-03:00,33.944950757147566,2022-12-12 00:00:00-03:00
2022-12-13 00:00:00-03:00,34.77443356303385,2022-12-13 00:00:00-03:00
2022-12-14 00:00:00-03:00,20.627791663557236,2022-12-14 00:00:00-03:00
2022-12-15 00:00:00-03:00,22.942631114814834,2022-12-15 00:00:00-03:00
2022-12-16 00:00:00-03:00,24.21051416370128,2022-12-16 00:00:00-03:00
2022-12-19 00:00:00-03:00,21.951213208575112,2022-12-19 00:00:00-03:00
2022-12-20 00:00:00-03:00,31.428572726087857,2022-12-20 00:00:00-03:00
2022-12-21 00:00:00-03:00,38.68194513556252,2022-12-21 00:00:00-03:00
2022-12-22 00:00:00-03:00,36.498514305119315,2022-12-22 00:00:00-03:00
2022-12-23 00:00:00-03:00,52.39616068289193,2022-12-23 00:00:00-03:00
2022-12-26 00:00:00-03:00,44.89164132392453,2022-12-26 00:00:00-03:00
2022-12-27 00:00:00-03:00,39.72602632350412,2022-12-27 00:00:00-03:00
2022-12-28 00:00:00-03:00,51.35134368851862,2022-12-28 00:00:00-03:00
2022-12-29 00:00:00-03:00,55.88236366589186,2022-12-29 00:00:00-03:00
2023-01-02 00:00:00-03:00,45.783127546482994,2023-01-02 00:00:00-03:00
2023-01-03 00:00:00-03:00,46.45476749812005,2023-01-03 00:00:00-03:00
2023-01-04 00:00:00-03:00,52.252250317193415,2023-01-04 00:00:00-03:00
2023-01-05 00:00:00-03:00,55.89519741583351,2023-01-05 00:00:00-03:00
